ID,월,일,측정 시간대,섭씨 온도(°⁣C),절대 온도(K),이슬점 온도(°C),상대 습도 (%),대기압(mbar),포화 증기압(mbar),실제 증기압(mbar),증기압 부족량(mbar),수증기 함량 (g/kg),공기 밀도 (g/m**3),풍향 (deg),풍속 (m/s)
TRAIN_04583,9,29,새벽,14.93,288.36,10.74,76.0,996.69,17.0,12.92,4.08,8.1,1199.3,212.7,0.63
TRAIN_04584,6,9,오후,18.59,292.66,11.12,61.74,989.18,21.45,13.24,8.21,8.37,1175.14,320.4,1.55
TRAIN_04585,1,18,새벽,-3.6,269.74,-5.38,87.4,997.59,4.68,4.09,0.59,2.55,1287.23,245.9,0.87
TRAIN_04586,3,15,새벽,0.05,273.14,-2.42,83.4,1000.81,6.13,5.11,1.02,3.18,1273.66,163.1,0.49
TRAIN_04587,8,13,저녁,25.06,298.76,12.86,46.68,993.71,31.84,14.86,16.98,9.36,1154.22,252.8,1.65
TRAIN_04588,6,16,새벽,10.21,285.2,8.73,90.5,977.74,12.47,11.28,1.18,7.21,1196.74,202.4,1.09
TRAIN_04589,10,9,새벽,6.85,280.3,5.59,91.6,996.4,9.93,9.09,0.83,5.7,1235.33,216.6,0.86
TRAIN_04590,5,18,저녁,16.69,291.27,3.42,41.04,983.08,19.03,7.81,11.22,4.96,1177.98,196.4,0.92
TRAIN_04591,12,5,오후,0.16,273.38,-3.7,75.1,999.32,6.18,4.64,1.54,2.89,1271.43,7.65,1.01
TRAIN_04592,7,21,저녁,19.21,293.28,17.48,89.7,989.16,22.3,20.0,2.3,12.67,1169.58,221.2,0.51
TRAIN_04593,11,21,오후,10.27,285.13,1.98,56.31,979.3,12.52,7.05,5.47,4.49,1200.37,227.6,1.34
TRAIN_04594,2,1,오후,12.1,286.12,6.2,67.14,989.54,14.14,9.49,4.65,5.99,1204.05,242.9,3.47
TRAIN_04595,11,14,오전,-6.14,266.44,-7.16,92.4,1007.64,3.86,3.56,0.29,2.2,1312.83,194.3,1.4
TRAIN_04596,8,30,오전,15.91,289.06,10.34,69.45,1000.17,18.11,12.57,5.53,7.86,1199.59,35.89,2.68
TRAIN_04597,1,6,새벽,-4.68,270.56,-5.53,93.7,973.4,4.31,4.04,0.27,2.59,1261.02,14.55,2.76
TRAIN_04598,8,15,새벽,15.14,288.55,10.77,75.1,996.96,17.23,12.94,4.29,8.11,1198.74,358.6,0.66
TRAIN_04599,1,16,오후,0.23,274.01,-3.23,77.4,992.11,6.21,4.81,1.4,3.02,1261.84,207.5,1.58
TRAIN_04600,4,13,저녁,9.61,284.35,8.52,92.9,980.69,11.98,11.13,0.85,7.09,1202.99,198.0,1.03
TRAIN_04601,1,15,새벽,0.69,275.58,-1.61,84.5,978.19,6.42,5.42,1.0,3.46,1241.76,213.6,1.73
TRAIN_04602,5,30,오후,18.59,293.49,12.56,67.91,979.46,21.45,14.57,6.88,9.3,1162.94,206.4,5.4
TRAIN_04603,8,16,새벽,11.9,285.49,8.68,80.6,994.76,13.95,11.24,2.71,7.06,1210.46,214.3,0.8
TRAIN_04604,10,8,오후,8.99,282.5,6.8,86.1,995.63,11.49,9.89,1.6,6.2,1224.66,15.77,0.76
TRAIN_04605,9,21,새벽,6.52,280.21,5.61,93.9,993.46,9.7,9.11,0.59,5.72,1233.12,204.6,0.94
TRAIN_04606,8,30,오후,20.78,294.09,7.56,42.41,998.2,24.58,10.42,14.15,6.52,1178.33,26.72,3.42
TRAIN_04607,11,15,오전,1.99,275.2,-3.42,67.2,999.43,7.06,4.74,2.31,2.96,1263.06,181.0,2.61
TRAIN_04608,12,27,새벽,3.78,276.68,-1.47,68.43,1003.38,8.01,5.48,2.53,3.41,1259.53,251.0,2.34
TRAIN_04609,1,18,새벽,-3.61,269.74,-5.4,87.3,997.5,4.67,4.08,0.59,2.55,1287.15,257.8,0.7
TRAIN_04610,6,1,오전,17.25,291.67,14.26,82.6,984.94,19.72,16.29,3.43,10.35,1174.1,152.9,0.79
TRAIN_04611,5,11,새벽,11.89,286.42,8.05,77.3,983.37,13.94,10.78,3.16,6.85,1196.8,130.3,0.33
TRAIN_04612,9,30,오전,16.14,290.27,10.87,70.9,988.33,18.37,13.03,5.35,8.24,1184.17,16.86,2.69
TRAIN_04613,7,13,오후,17.84,292.24,14.25,79.5,985.24,20.46,16.27,4.2,10.34,1172.08,151.2,1.31
TRAIN_04614,1,6,오후,-4.4,270.71,-5.62,91.1,975.07,4.4,4.01,0.39,2.56,1261.89,6.89,1.87
TRAIN_04615,7,17,새벽,16.33,289.89,14.84,90.9,995.16,18.6,16.91,1.69,10.63,1189.84,318.2,0.59
TRAIN_04616,4,6,새벽,8.34,282.76,5.4,81.7,984.56,10.99,8.98,2.01,5.69,1214.21,230.3,0.5
TRAIN_04617,12,14,새벽,4.62,278.03,3.1,89.8,996.86,8.5,7.63,0.87,4.78,1246.53,198.5,0.57
TRAIN_04618,8,7,저녁,23.07,296.54,11.64,48.53,996.36,28.26,13.71,14.54,8.61,1165.6,233.5,2.6
TRAIN_04619,6,19,오전,16.83,290.39,11.0,68.44,995.16,19.2,13.14,6.06,8.25,1189.51,342.4,1.7
TRAIN_04620,11,14,저녁,0.39,273.1,-4.76,68.18,1005.75,6.28,4.28,2.0,2.65,1278.73,224.3,1.8
TRAIN_04621,6,15,오전,15.56,290.81,11.84,78.5,975.09,17.7,13.9,3.81,8.91,1170.17,192.6,2.81
TRAIN_04622,7,8,오전,13.64,287.5,9.44,75.7,991.47,15.64,11.84,3.8,7.46,1198.85,155.7,1.83
TRAIN_04623,6,10,오전,17.67,291.96,8.95,56.57,986.57,20.25,11.45,8.79,7.25,1176.54,264.9,2.31
TRAIN_04624,2,9,오전,6.27,281.56,1.19,69.84,973.84,9.54,6.66,2.88,4.26,1210.93,208.5,7.54
TRAIN_04625,12,7,오후,1.26,274.03,-1.19,83.7,1004.96,6.69,5.6,1.09,3.47,1273.08,201.1,0.71
TRAIN_04626,2,26,저녁,-1.87,272.42,-4.09,84.7,985.5,5.32,4.51,0.81,2.85,1263.29,281.9,0.41
TRAIN_04627,4,5,새벽,10.51,285.26,8.78,89.0,980.65,12.72,11.32,1.4,7.21,1199.03,341.9,0.93
TRAIN_04628,5,19,새벽,9.36,284.06,3.04,64.54,981.14,11.78,7.6,4.18,4.83,1206.25,151.8,0.81
TRAIN_04629,2,26,오후,2.04,276.2,-3.45,66.8,987.47,7.08,4.73,2.35,2.98,1247.71,226.5,0.83
TRAIN_04630,7,12,새벽,20.29,294.66,11.37,56.51,985.7,23.84,13.47,10.37,8.55,1164.1,238.4,1.11
TRAIN_04631,3,30,오전,5.79,280.38,4.6,92.0,982.36,9.22,8.49,0.74,5.39,1222.78,191.6,1.02
TRAIN_04632,5,26,저녁,17.6,291.62,8.78,56.17,989.7,20.16,11.32,8.84,7.15,1180.63,348.7,0.8
TRAIN_04633,5,3,저녁,7.84,281.27,6.31,90.0,996.64,10.62,9.56,1.06,5.99,1231.07,283.9,0.39
TRAIN_04634,8,7,새벽,11.8,284.87,10.22,90.0,1001.06,13.86,12.47,1.39,7.79,1218.02,133.6,0.44
TRAIN_04635,7,5,오후,23.03,297.26,11.69,48.82,987.52,28.19,13.76,14.43,8.71,1155.34,231.0,3.68
TRAIN_04636,4,26,오후,6.83,282.14,-2.27,52.14,973.7,9.91,5.17,4.74,3.31,1209.02,212.8,9.33
TRAIN_04637,5,23,새벽,13.25,287.86,11.93,91.7,982.44,15.25,13.98,1.27,8.9,1188.51,218.3,0.96
TRAIN_04638,2,26,오전,0.79,274.93,-2.41,79.1,987.5,6.47,5.12,1.35,3.23,1253.29,150.1,1.96
TRAIN_04639,5,7,저녁,17.52,291.67,4.67,42.52,988.16,20.06,8.53,11.53,5.39,1180.38,30.52,1.41
TRAIN_04640,7,19,오전,16.87,290.38,12.86,77.2,995.73,19.25,14.86,4.39,9.33,1189.25,141.6,0.46
TRAIN_04641,5,8,오후,21.4,295.48,6.83,38.81,989.11,25.53,9.91,15.62,6.25,1165.34,101.3,4.17
TRAIN_04642,11,16,새벽,3.93,277.55,3.71,98.5,994.24,8.1,7.97,0.12,5.0,1246.19,197.6,1.15
TRAIN_04643,11,15,새벽,-0.36,272.59,-3.93,76.7,1002.6,5.95,4.56,1.39,2.83,1278.12,225.5,0.79
TRAIN_04644,11,4,오전,6.24,280.26,2.5,76.9,989.24,9.51,7.32,2.2,4.61,1229.96,176.6,2.44
TRAIN_04645,11,20,새벽,3.14,277.56,1.16,86.8,984.21,7.65,6.64,1.01,4.21,1237.75,217.4,2.35
TRAIN_04646,12,3,새벽,-3.21,270.16,-4.34,91.8,997.35,4.82,4.42,0.4,2.76,1284.86,142.1,0.87
TRAIN_04647,7,20,새벽,16.64,290.34,13.61,82.3,993.54,18.97,15.61,3.36,9.83,1187.21,212.4,0.6
TRAIN_04648,4,11,오후,9.59,283.71,3.95,67.81,988.25,11.96,8.11,3.85,5.12,1213.79,42.71,2.55
TRAIN_04649,8,24,새벽,14.8,288.01,13.43,91.5,999.35,16.86,15.43,1.43,9.66,1201.91,108.1,0.4
TRAIN_04650,1,1,오전,-0.89,272.29,-1.15,98.1,999.74,5.72,5.61,0.11,3.5,1276.41,197.0,0.95
TRAIN_04651,1,7,새벽,-4.8,270.18,-5.64,93.8,976.62,4.27,4.01,0.26,2.56,1265.78,22.03,2.5
TRAIN_04652,3,5,새벽,3.68,279.33,-1.07,71.0,969.11,7.95,5.65,2.31,3.63,1216.81,179.9,2.19
TRAIN_04653,2,5,오후,5.39,278.84,2.59,82.1,996.25,8.97,7.36,1.61,4.61,1242.48,187.0,2.57
TRAIN_04654,2,12,저녁,4.24,279.62,-2.15,62.99,972.52,8.28,5.21,3.06,3.34,1218.81,78.1,1.29
TRAIN_04655,11,13,저녁,-2.62,270.13,-4.41,87.4,1005.34,5.04,4.4,0.63,2.73,1292.37,206.3,0.39
TRAIN_04656,2,6,오전,5.11,278.96,2.87,85.4,991.42,8.8,7.51,1.28,4.73,1237.58,153.4,3.0
TRAIN_04657,7,26,저녁,25.24,299.07,16.99,60.25,992.21,32.18,19.39,12.79,12.25,1149.77,36.42,1.86
TRAIN_04658,5,5,저녁,16.79,290.3,8.13,56.58,995.78,19.15,10.84,8.31,6.8,1191.46,53.57,4.19
TRAIN_04659,8,17,오후,18.16,292.28,8.53,53.32,988.55,20.88,11.13,9.75,7.04,1177.08,55.6,2.87
TRAIN_04660,9,30,저녁,10.47,284.5,10.17,98.0,989.3,12.69,12.43,0.25,7.85,1209.31,232.5,1.79
TRAIN_04661,2,8,오후,8.79,284.48,4.73,75.6,969.22,11.33,8.57,2.76,5.52,1193.51,193.7,6.29
TRAIN_04662,6,17,저녁,14.79,289.23,11.44,80.3,984.56,16.85,13.53,3.32,8.59,1184.93,212.5,1.77
TRAIN_04663,12,23,저녁,-1.02,271.86,-1.87,93.9,1003.65,5.67,5.32,0.35,3.31,1282.18,177.4,0.59
TRAIN_04664,11,17,오전,8.89,283.41,5.49,79.2,983.31,11.41,9.03,2.37,5.74,1210.27,210.9,0.98
TRAIN_04665,9,14,오후,27.79,301.91,13.31,40.93,988.97,37.4,15.31,22.09,9.68,1138.07,108.2,2.69
TRAIN_04666,10,23,새벽,4.3,278.36,3.97,97.7,988.69,8.31,8.12,0.19,5.12,1237.48,220.1,1.0
TRAIN_04667,12,13,새벽,2.6,275.78,2.34,98.2,999.72,7.37,7.23,0.13,4.51,1259.47,195.6,0.9
TRAIN_04668,4,14,새벽,8.72,283.38,7.54,92.3,981.64,11.28,10.41,0.87,6.62,1208.29,247.9,1.34
TRAIN_04669,9,7,새벽,9.95,283.16,9.2,95.1,999.43,12.25,11.65,0.6,7.28,1224.35,198.7,0.81
TRAIN_04670,2,5,새벽,2.33,275.73,0.03,84.7,996.99,7.23,6.12,1.11,3.83,1257.77,257.4,2.65
TRAIN_04671,9,18,오전,13.73,287.99,12.12,90.0,986.68,15.73,14.16,1.57,8.97,1191.59,21.48,4.67
TRAIN_04672,2,26,저녁,-1.82,272.48,-4.04,84.7,985.38,5.34,4.53,0.82,2.86,1262.89,53.36,0.43
TRAIN_04673,7,21,오전,19.56,293.85,15.24,76.1,986.67,22.79,17.34,5.45,11.01,1166.41,300.8,1.2
TRAIN_04674,4,20,저녁,12.1,285.15,0.7,45.45,1001.4,14.14,6.43,7.71,4.0,1219.95,7.43,1.24
TRAIN_04675,12,22,오후,2.8,275.78,-1.17,75.0,1002.23,7.47,5.6,1.87,3.49,1262.5,187.0,2.78
TRAIN_04676,5,28,오전,16.28,290.39,12.75,79.6,988.64,18.54,14.76,3.78,9.34,1183.18,36.45,1.77
TRAIN_04677,6,28,새벽,14.74,288.57,13.79,94.0,991.95,16.79,15.79,1.01,9.96,1193.04,231.7,0.75
TRAIN_04678,8,26,오후,34.23,308.31,10.57,23.68,989.64,53.94,12.77,41.17,8.07,1116.07,151.6,2.95
TRAIN_04679,6,1,저녁,14.23,288.65,13.0,92.3,984.83,16.25,15.0,1.25,9.53,1186.89,232.6,0.54
TRAIN_04680,6,30,오전,18.99,293.16,14.17,73.6,987.98,21.99,16.19,5.81,10.26,1170.77,190.5,1.86
TRAIN_04681,8,27,새벽,20.48,294.33,12.45,59.96,991.86,24.13,14.47,9.66,9.12,1170.21,184.6,0.33
TRAIN_04682,2,24,오전,1.32,275.19,-1.22,83.1,990.99,6.72,5.58,1.14,3.51,1255.08,250.5,1.95
TRAIN_04683,10,16,오전,10.87,284.31,10.43,97.1,996.58,13.03,12.65,0.38,7.93,1216.43,170.5,0.44
TRAIN_04684,8,14,새벽,16.95,290.44,13.25,78.8,996.0,19.35,15.24,4.1,9.58,1189.06,252.2,2.37
TRAIN_04685,6,16,새벽,11.53,286.55,10.11,91.0,977.44,13.61,12.39,1.23,7.92,1190.31,211.9,0.48
TRAIN_04686,4,4,오전,8.95,283.61,7.58,91.1,981.62,11.45,10.43,1.02,6.64,1207.27,237.4,0.33
TRAIN_04687,10,22,오전,5.4,279.69,4.86,96.3,985.93,8.98,8.65,0.33,5.47,1228.88,204.9,0.92
TRAIN_04688,11,23,저녁,8.58,282.32,6.39,86.1,992.82,11.17,9.62,1.55,6.05,1223.09,30.87,0.68
TRAIN_04689,4,29,새벽,-0.56,273.31,-2.28,88.1,990.99,5.86,5.16,0.7,3.25,1263.91,174.1,2.1
TRAIN_04690,10,18,새벽,10.67,284.23,9.73,93.9,995.13,12.86,12.07,0.78,7.58,1215.78,219.8,0.74
TRAIN_04691,4,26,오전,5.62,280.91,-2.38,56.25,973.69,9.11,5.13,3.99,3.28,1214.31,212.9,6.05
TRAIN_04692,9,30,오후,13.96,288.07,12.25,89.4,988.54,15.97,14.27,1.69,9.03,1192.84,112.7,0.83
TRAIN_04693,5,2,새벽,4.89,278.2,2.59,85.0,998.08,8.66,7.36,1.3,4.6,1247.0,35.01,0.31
TRAIN_04694,8,13,오후,26.71,300.42,11.76,39.38,993.58,35.1,13.82,21.28,8.7,1148.18,221.0,3.7
TRAIN_04695,7,29,저녁,19.89,294.23,14.97,73.3,986.1,23.26,17.05,6.21,10.83,1164.55,258.6,1.38
TRAIN_04696,8,22,저녁,17.64,290.71,13.94,78.9,1001.07,20.21,15.94,4.26,9.97,1192.0,219.0,2.16
TRAIN_04697,12,4,저녁,-3.11,269.81,-4.64,89.1,1003.07,4.85,4.32,0.53,2.69,1291.84,219.8,2.01
TRAIN_04698,7,23,오전,25.03,298.99,14.63,52.47,990.64,31.78,16.68,15.11,10.54,1149.95,28.44,3.28
TRAIN_04699,11,11,오전,1.07,275.33,0.76,97.8,986.01,6.6,6.45,0.15,4.08,1249.47,25.21,4.27
TRAIN_04700,6,27,오전,14.46,288.2,10.21,75.6,993.01,16.49,12.47,4.02,7.85,1197.0,160.6,0.91
TRAIN_04701,10,16,저녁,14.49,287.95,10.02,74.5,996.35,16.53,12.31,4.21,7.72,1201.0,7.99,1.01
TRAIN_04702,11,11,오전,2.04,276.55,1.6,96.9,983.04,7.08,6.86,0.22,4.35,1241.1,37.26,2.99
TRAIN_04703,3,21,새벽,4.79,278.82,2.09,82.6,989.08,8.6,7.1,1.5,4.48,1236.27,251.3,1.36
TRAIN_04704,7,23,저녁,18.5,292.33,17.19,92.1,992.06,21.33,19.65,1.69,12.41,1176.05,355.8,0.41
TRAIN_04705,12,3,오전,-5.38,267.87,-6.26,93.5,998.85,4.09,3.82,0.27,2.38,1297.56,194.1,0.8
TRAIN_04706,6,17,저녁,12.78,287.1,9.86,82.4,985.99,14.78,12.18,2.6,7.72,1195.62,224.3,2.03
TRAIN_04707,8,12,오전,12.52,286.14,9.79,83.4,994.4,14.53,12.12,2.41,7.62,1206.99,180.6,2.62
TRAIN_04708,4,12,오전,4.79,279.09,4.51,98.1,985.69,8.6,8.44,0.16,5.34,1231.41,161.6,1.38
TRAIN_04709,6,9,새벽,13.14,287.08,10.25,82.6,990.59,15.14,12.5,2.63,7.89,1199.57,219.2,1.28
TRAIN_04710,6,23,오전,21.95,295.37,16.36,70.6,996.9,26.4,18.64,7.76,11.71,1168.46,137.4,0.54
TRAIN_04711,4,30,오후,17.45,291.56,2.02,35.41,988.68,19.97,7.07,12.9,4.46,1181.95,170.1,2.21
TRAIN_04712,4,5,오후,19.49,294.41,11.56,60.11,979.29,22.69,13.64,9.05,8.71,1159.58,289.8,1.69
TRAIN_04713,10,9,오후,9.76,283.19,4.65,70.4,996.65,12.1,8.52,3.58,5.33,1223.21,65.72,0.77
TRAIN_04714,11,21,새벽,7.63,282.32,2.33,69.04,981.19,10.47,7.23,3.24,4.6,1213.92,133.3,1.35
TRAIN_04715,2,6,새벽,6.4,280.11,3.83,83.6,993.17,9.62,8.04,1.58,5.05,1233.82,186.7,2.44
TRAIN_04716,12,30,오전,-4.61,267.67,-5.11,96.3,1011.45,4.33,4.17,0.16,2.57,1310.02,224.6,0.96
TRAIN_04717,11,25,오후,4.95,278.47,0.63,73.5,995.43,8.7,6.39,2.3,4.0,1243.86,41.32,3.29
TRAIN_04718,1,21,오후,-0.27,272.82,-6.16,64.3,1000.93,5.99,3.85,2.14,2.4,1275.9,187.9,1.45
TRAIN_04719,11,2,오후,6.61,280.77,3.17,78.6,987.59,9.76,7.67,2.09,4.85,1226.12,252.8,1.93
TRAIN_04720,7,22,새벽,16.88,290.9,16.27,96.2,989.74,19.26,18.53,0.73,11.73,1180.34,191.7,1.24
TRAIN_04721,5,4,저녁,8.55,281.55,4.63,76.3,1002.02,11.15,8.51,2.64,5.3,1235.11,237.9,1.12
TRAIN_04722,10,9,오후,8.57,281.97,4.63,76.2,997.04,11.16,8.51,2.66,5.32,1228.87,274.8,1.0
TRAIN_04723,8,8,오후,27.19,301.17,13.29,42.34,990.48,36.11,15.29,20.82,9.66,1142.1,217.4,6.07
TRAIN_04724,8,8,오후,26.44,300.45,9.77,35.04,990.2,34.55,12.11,22.44,7.64,1146.04,268.8,3.7
TRAIN_04725,4,24,오후,3.25,277.72,0.23,80.5,983.55,7.71,6.21,1.5,3.94,1236.64,206.9,3.82
TRAIN_04726,3,26,저녁,6.37,280.31,3.22,80.2,990.25,9.6,7.7,1.9,4.85,1230.48,171.8,2.76
TRAIN_04727,8,21,오후,20.08,293.89,9.19,49.45,992.26,23.54,11.64,11.9,7.33,1173.55,231.5,3.39
TRAIN_04728,6,13,새벽,13.58,288.55,12.78,94.9,978.19,15.58,14.78,0.79,9.45,1181.61,206.8,1.03
TRAIN_04729,7,11,오후,29.27,303.97,14.74,41.23,982.44,40.74,16.8,23.95,10.71,1124.33,219.4,7.17
TRAIN_04730,2,26,오전,-1.23,272.91,-3.04,87.4,987.52,5.58,4.88,0.7,3.08,1262.71,217.3,0.78
TRAIN_04731,11,13,새벽,-0.73,272.46,-4.55,75.2,999.63,5.79,4.35,1.44,2.71,1276.13,156.3,1.12
TRAIN_04732,4,27,새벽,2.39,277.56,-1.52,75.3,974.88,7.26,5.46,1.79,3.49,1229.89,215.8,5.34
TRAIN_04733,7,21,오후,19.27,293.34,17.38,88.8,989.14,22.38,19.88,2.51,12.59,1169.37,248.8,3.41
TRAIN_04734,6,17,오전,13.57,288.72,13.09,96.9,976.1,15.57,15.08,0.48,9.67,1178.98,121.8,0.46
TRAIN_04735,5,5,오후,16.4,289.66,4.4,44.79,998.85,18.68,8.37,10.31,5.23,1197.88,102.4,3.37
TRAIN_04736,6,8,오전,18.51,292.3,11.64,64.27,992.53,21.34,13.72,7.63,8.64,1179.25,128.0,0.89
TRAIN_04737,6,4,오후,20.96,295.32,15.98,73.2,985.89,24.85,18.19,6.66,11.56,1159.56,211.8,1.19
TRAIN_04738,1,30,새벽,6.67,280.18,1.72,70.6,995.62,9.8,6.92,2.88,4.33,1236.2,212.5,7.89
TRAIN_04739,9,25,오전,10.57,284.08,9.76,94.7,995.69,12.77,12.1,0.68,7.59,1216.88,151.6,0.68
TRAIN_04740,11,5,저녁,6.32,281.7,5.37,93.6,972.76,9.57,8.96,0.61,5.75,1208.28,125.3,0.7
TRAIN_04741,7,5,오전,21.37,295.55,13.3,60.02,988.01,25.48,15.29,10.19,9.69,1161.75,266.0,1.21
TRAIN_04742,7,15,오후,17.7,291.03,7.63,51.61,997.91,20.29,10.47,9.82,6.55,1190.45,266.0,2.41
TRAIN_04743,1,2,오후,-0.21,273.76,-1.66,89.9,989.65,6.01,5.41,0.61,3.41,1260.47,104.4,0.49
TRAIN_04744,3,23,오후,6.33,280.93,1.28,70.0,982.1,9.57,6.7,2.87,4.25,1220.96,28.11,0.76
TRAIN_04745,8,7,오후,26.61,299.99,10.88,37.35,997.42,34.9,13.03,21.86,8.17,1153.37,239.2,2.77
TRAIN_04746,12,2,새벽,5.75,279.82,4.21,89.8,988.69,9.2,8.26,0.94,5.21,1230.98,260.3,3.49
TRAIN_04747,12,31,새벽,-4.26,268.28,-6.37,85.1,1008.05,4.45,3.79,0.66,2.34,1304.09,258.7,0.55
TRAIN_04748,9,7,오후,25.33,299.14,15.35,53.99,992.41,32.36,17.47,14.89,11.02,1150.51,89.9,3.12
TRAIN_04749,12,6,오전,-7.74,265.19,-9.03,90.4,1003.04,3.41,3.08,0.33,1.91,1314.96,179.2,0.75
TRAIN_04750,1,16,오후,0.93,274.85,-4.31,67.86,990.42,6.53,4.43,2.1,2.79,1256.67,202.9,3.41
TRAIN_04751,10,25,새벽,7.85,281.88,7.57,98.1,989.26,10.63,10.43,0.2,6.58,1221.47,15.85,1.74
TRAIN_04752,1,9,오전,-1.06,273.78,-2.45,90.2,978.72,5.65,5.1,0.55,3.25,1250.56,154.9,0.43
TRAIN_04753,5,22,새벽,12.89,287.03,9.06,77.5,988.08,14.89,11.54,3.35,7.3,1198.0,209.6,0.26
TRAIN_04754,9,22,오전,14.77,288.23,12.4,85.7,996.36,16.83,14.42,2.41,9.05,1198.88,116.4,0.97
TRAIN_04755,1,6,오후,-4.13,270.97,-5.46,90.4,975.1,4.49,4.06,0.43,2.6,1260.66,19.67,2.61
TRAIN_04756,4,21,오후,16.53,290.04,2.17,37.94,995.79,18.84,7.15,11.69,4.48,1194.22,18.27,2.29
TRAIN_04757,5,27,오후,16.34,290.33,13.54,83.5,990.04,18.61,15.54,3.07,9.82,1184.26,30.63,2.68
TRAIN_04758,8,4,새벽,17.27,291.58,16.13,93.0,986.28,19.74,18.36,1.38,11.66,1174.68,149.3,1.36
TRAIN_04759,11,4,오전,4.21,278.14,2.2,86.7,990.4,8.26,7.16,1.1,4.51,1240.47,177.1,1.61
TRAIN_04760,1,19,오후,-3.54,270.45,-8.28,69.47,989.29,4.7,3.26,1.43,2.06,1276.61,189.8,1.1
TRAIN_04761,12,11,오후,8.18,282.1,2.84,68.94,990.62,10.87,7.49,3.38,4.72,1223.1,251.2,2.52
TRAIN_04762,4,28,오전,5.85,279.99,-0.15,65.22,987.85,9.26,6.04,3.22,3.81,1230.52,249.1,3.68
TRAIN_04763,4,22,저녁,8.22,282.42,-0.12,55.55,987.23,10.9,6.06,4.85,3.82,1219.4,248.9,0.88
TRAIN_04764,7,24,새벽,17.36,291.18,16.68,95.8,992.12,19.85,19.02,0.83,12.01,1181.02,240.6,0.66
TRAIN_04765,12,22,오후,2.48,275.44,-1.11,77.1,1002.42,7.3,5.63,1.67,3.5,1264.21,202.1,2.1
TRAIN_04766,4,8,오후,12.1,286.57,-0.44,41.83,984.08,14.14,5.91,8.22,3.75,1199.03,309.9,2.22
TRAIN_04767,1,9,저녁,1.9,277.02,0.93,93.2,975.56,7.01,6.53,0.48,4.18,1232.4,181.0,1.97
TRAIN_04768,6,1,오후,17.43,291.95,15.76,89.9,983.81,19.94,17.93,2.01,11.41,1171.27,197.7,0.59
TRAIN_04769,5,15,오후,7.1,281.14,3.28,76.6,989.1,10.1,7.73,2.36,4.88,1225.81,207.5,1.61
TRAIN_04770,5,15,오전,6.82,280.92,0.72,64.97,988.41,9.91,6.44,3.47,4.06,1226.77,262.6,3.67
TRAIN_04771,7,10,새벽,14.58,288.5,11.75,83.1,990.83,16.62,13.81,2.81,8.72,1193.25,157.1,0.33
TRAIN_04772,10,1,저녁,13.84,288.29,11.8,87.5,984.46,15.84,13.86,1.98,8.81,1188.58,217.8,1.99
TRAIN_04773,6,30,오후,21.46,295.67,13.99,62.42,987.68,25.62,15.99,9.63,10.13,1160.69,297.8,2.17
TRAIN_04774,12,23,저녁,-0.09,272.7,-1.19,92.2,1004.73,6.07,5.6,0.47,3.47,1279.04,178.9,2.16
TRAIN_04775,8,2,오전,12.2,286.08,10.96,92.1,991.22,14.23,13.11,1.12,8.27,1204.01,190.6,0.76
TRAIN_04776,7,20,새벽,16.2,289.89,13.64,84.8,993.66,18.44,15.64,2.8,9.85,1189.15,221.2,1.32
TRAIN_04777,6,27,오전,19.54,293.34,9.26,51.38,992.39,22.76,11.69,11.07,7.36,1175.84,261.4,1.54
TRAIN_04778,11,7,오후,3.18,277.87,1.81,90.7,980.79,7.68,6.96,0.71,4.43,1233.11,146.5,0.6
TRAIN_04779,11,3,새벽,3.07,276.87,1.45,89.1,991.95,7.62,6.79,0.83,4.27,1247.76,256.3,3.06
TRAIN_04780,9,8,저녁,24.24,298.59,15.12,56.75,986.16,30.32,17.21,13.11,10.92,1147.52,258.4,1.49
TRAIN_04781,6,16,오후,16.34,291.34,13.47,83.1,978.06,18.61,15.46,3.15,9.89,1169.88,160.8,2.23
TRAIN_04782,11,15,오후,1.08,274.34,-0.04,92.2,998.71,6.61,6.09,0.52,3.8,1265.72,162.3,3.02
TRAIN_04783,11,23,오전,4.84,278.61,4.17,95.4,992.33,8.63,8.23,0.4,5.18,1239.59,152.6,0.53
TRAIN_04784,8,13,오후,25.53,299.17,13.07,46.01,994.37,32.74,15.06,17.68,9.48,1153.09,226.2,3.82
TRAIN_04785,9,9,저녁,19.0,292.85,13.91,72.3,991.76,22.01,15.91,6.1,10.04,1175.36,49.66,0.6
TRAIN_04786,8,2,오전,12.46,286.35,11.41,93.3,991.16,14.48,13.51,0.97,8.52,1202.65,155.0,1.63
TRAIN_04787,2,15,오전,3.92,278.66,1.94,86.9,980.26,8.09,7.03,1.06,4.47,1229.12,233.3,0.67
TRAIN_04788,8,1,오후,20.79,294.6,8.24,44.4,992.35,24.59,10.92,13.67,6.87,1171.14,338.7,1.35
TRAIN_04789,11,14,오후,4.98,277.72,-2.91,56.51,1005.33,8.72,4.93,3.79,3.05,1256.81,190.1,1.55
TRAIN_04790,2,6,저녁,8.12,282.52,3.24,71.2,984.75,10.83,7.71,3.12,4.88,1215.99,188.6,3.26
TRAIN_04791,7,17,오후,21.07,294.78,17.66,80.9,993.47,25.02,20.24,4.78,12.77,1167.18,2.05,0.53
TRAIN_04792,4,21,저녁,14.25,288.0,1.95,43.23,992.8,16.27,7.03,9.24,4.42,1200.12,301.3,0.44
